country,code,year,literacy_rate,avg_years_of_education,population,region
Cuba,CUB,1965,77.5,4.55,8030806.0,North America
Cuba,CUB,1970,77.5,5.41,8824389.0,North America
Cuba,CUB,1975,77.5,6.48,9479729.0,North America
Cuba,CUB,1980,77.5,7.82,9804798.0,North America
Cuba,CUB,1981,98.0,3.42,9849325.0,North America
Cuba,CUB,1985,98.0,8.64,10157229.0,North America
Cuba,CUB,1990,98.0,9.21,10631796.0,North America
Cuba,CUB,1995,98.0,9.58,10925362.0,North America
Cuba,CUB,2000,98.0,9.88,11109112.0,North America
Cuba,CUB,2002,100.0,3.42,11177422.0,North America
Cuba,CUB,2005,100.0,10.36,11262553.0,North America
Cuba,CUB,2010,100.0,11.06,11297414.0,North America
Cuba,CUB,2012,100.0,3.42,11303172.0,North America
Cuba,CUB,2015,100.0,11.12,11275069.0,North America
Cuba,CUB,2019,97.65491,3.42,11202847.0,North America
Cuba,CUB,2020,97.65491,11.61,11176349.0,North America
Cyprus,CYP,1870,62.5,0.29,185602.0,Europe
Cyprus,CYP,1875,62.5,0.35,185654.0,Europe
Cyprus,CYP,1880,62.5,0.42,187005.0,Europe
Cyprus,CYP,1885,62.5,0.51,196828.0,Europe
Cyprus,CYP,1890,62.5,0.61,208704.0,Europe
Cyprus,CYP,1895,62.5,0.78,222067.0,Europe
Cyprus,CYP,1900,62.5,0.97,236693.0,Europe
Cyprus,CYP,1905,62.5,1.11,254143.0,Europe
Cyprus,CYP,1910,62.5,1.3,272882.0,Europe
Cyprus,CYP,1915,62.5,1.65,290960.0,Europe
Cyprus,CYP,1920,62.5,1.97,309680.0,Europe
Cyprus,CYP,1925,62.5,2.25,327859.0,Europe
Cyprus,CYP,1930,62.5,2.52,349917.0,Europe
Cyprus,CYP,1935,62.5,2.72,394589.0,Europe
Cyprus,CYP,1940,62.5,2.84,444169.0,Europe
Cyprus,CYP,1945,62.5,3.08,469861.0,Europe
Cyprus,CYP,1950,62.5,3.8,493883.0,Europe
Cyprus,CYP,1955,62.5,4.49,533874.0,Europe
Cyprus,CYP,1960,62.5,5.38,586493.0,Europe
Cyprus,CYP,1965,62.5,5.9,617743.0,Europe
Cyprus,CYP,1970,62.5,6.36,647443.0,Europe
Cyprus,CYP,1975,62.5,7.02,659408.0,Europe
Cyprus,CYP,1980,62.5,7.89,683082.0,Europe
Cyprus,CYP,1985,62.5,8.94,731290.0,Europe
Cyprus,CYP,1990,62.5,9.85,788355.0,Europe
Cyprus,CYP,1992,94.0,3.08,810344.0,Europe
Cyprus,CYP,1995,94.0,10.28,862698.0,Europe
Cyprus,CYP,2000,94.0,10.82,947667.0,Europe
Cyprus,CYP,2001,97.0,3.08,964129.0,Europe
Cyprus,CYP,2005,97.0,10.19,1036156.0,Europe
Cyprus,CYP,2010,97.0,11.76,1127826.0,Europe
Cyprus,CYP,2011,99.0,3.08,1146493.0,Europe
Cyprus,CYP,2015,99.0,12.1,1219504.0,Europe
Cyprus,CYP,2020,99.0,12.42,1302250.0,Europe
Czechia,CZE,1870,96.0,3.19,7698830.0,Europe
Czechia,CZE,1875,96.0,3.25,7943875.0,Europe
Czechia,CZE,1880,96.0,3.36,8196719.0,Europe
Czechia,CZE,1885,96.0,3.47,8446221.0,Europe
Czechia,CZE,1890,96.0,3.59,8703318.0,Europe
Czechia,CZE,1895,96.0,3.7,9013144.0,Europe
Czechia,CZE,1900,96.0,3.82,9334000.0,Europe
Czechia,CZE,1905,96.0,4.13,9685000.0,Europe
Czechia,CZE,1910,96.0,4.38,10036000.0,Europe
Czechia,CZE,1915,96.0,4.61,10286000.0,Europe
Czechia,CZE,1920,96.0,4.79,9978000.0,Europe
Czechia,CZE,1925,96.0,5.13,10370000.0,Europe
Czechia,CZE,1930,96.0,5.4,10648000.0,Europe
Czechia,CZE,1935,96.0,5.7,10853000.0,Europe
Czechia,CZE,1940,96.0,6.01,11160000.0,Europe
Czechia,CZE,1945,96.0,6.3,10693000.0,Europe
Czechia,CZE,1950,96.0,8.22,8916715.0,Europe
Czechia,CZE,1955,96.0,8.37,9289429.0,Europe
Czechia,CZE,1960,96.0,8.49,9541605.0,Europe
Czechia,CZE,1965,96.0,9.16,9706844.0,Europe
Czechia,CZE,1970,96.0,9.88,9801253.0,Europe
Czechia,CZE,1975,96.0,10.34,10030787.0,Europe
Czechia,CZE,1980,96.0,10.69,10275404.0,Europe
Czechia,CZE,1985,96.0,10.91,10305141.0,Europe
Czechia,CZE,1990,96.0,11.35,10301989.0,Europe
Czechia,CZE,1995,96.0,12.3,10312041.0,Europe
Czechia,CZE,2000,96.0,12.78,10236809.0,Europe
Czechia,CZE,2005,96.0,12.81,10280155.0,Europe
Czechia,CZE,2010,96.0,12.8,10464035.0,Europe
Czechia,CZE,2015,96.0,12.93,10524418.0,Europe
Czechia,CZE,2020,96.0,12.93,10550129.0,Europe
Czechoslovakia,OWID_CZS,1950,97.5,2.72,12390000.0,Europe
Democratic Republic of Congo,COD,1870,37.5,0.01,8828887.0,Africa
Democratic Republic of Congo,COD,1875,37.5,0.01,9167396.0,Africa
Democratic Republic of Congo,COD,1880,37.5,0.01,9508357.0,Africa
Democratic Republic of Congo,COD,1885,37.5,0.01,9747652.0,Africa
Democratic Republic of Congo,COD,1890,37.5,0.01,9916704.0,Africa
Democratic Republic of Congo,COD,1895,37.5,0.01,9723789.0,Africa
Democratic Republic of Congo,COD,1900,37.5,0.02,9451620.0,Africa
Democratic Republic of Congo,COD,1905,37.5,0.03,9017966.0,Africa
Democratic Republic of Congo,COD,1910,37.5,0.03,8599666.0,Africa
Democratic Republic of Congo,COD,1915,37.5,0.24,8330869.0,Africa
Democratic Republic of Congo,COD,1920,37.5,0.25,8182274.0,Africa
Democratic Republic of Congo,COD,1925,37.5,0.26,8639430.0,Africa
Democratic Republic of Congo,COD,1930,37.5,0.3,9220147.0,Africa
Democratic Republic of Congo,COD,1935,37.5,0.34,9803193.0,Africa
Democratic Republic of Congo,COD,1940,37.5,0.41,10442344.0,Africa
Democratic Republic of Congo,COD,1945,37.5,0.49,11291347.0,Africa
Democratic Republic of Congo,COD,1950,37.5,0.62,12294293.0,Africa
Democratic Republic of Congo,COD,1955,37.5,0.72,13630350.0,Africa
Democratic Republic of Congo,COD,1960,37.5,0.88,15264853.0,Africa
Democratic Republic of Congo,COD,1965,37.5,1.06,17427807.0,Africa
Democratic Republic of Congo,COD,1970,37.5,1.3,20137442.0,Africa
Democratic Republic of Congo,COD,1975,37.5,1.63,23021102.0,Africa
Democratic Republic of Congo,COD,1980,37.5,2.15,26711098.0,Africa
Democratic Republic of Congo,COD,1985,37.5,2.86,31264819.0,Africa
Democratic Republic of Congo,COD,1990,37.5,3.31,36684065.0,Africa
Democratic Republic of Congo,COD,1995,37.5,3.52,44433718.0,Africa
Democratic Republic of Congo,COD,2000,37.5,3.51,50507445.0,Africa
Democratic Republic of Congo,COD,2001,67.0,0.49,52132646.0,Africa
Democratic Republic of Congo,COD,2005,67.0,3.63,58775726.0,Africa
Democratic Republic of Congo,COD,2010,67.0,3.79,68563038.0,Africa
Democratic Republic of Congo,COD,2012,75.0,0.49,73254623.0,Africa
Democratic Republic of Congo,COD,2015,75.0,4.3,81035532.0,Africa
Democratic Republic of Congo,COD,2016,77.0,0.49,83956416.0,Africa
Democratic Republic of Congo,COD,2018,73.55303,0.49,90047647.0,Africa
Democratic Republic of Congo,COD,2020,73.55303,4.85,95990000.0,Africa
Denmark,DNK,1870,98.5,2.45,1887891.0,Europe
Denmark,DNK,1875,98.5,2.5,1983412.0,Europe
Denmark,DNK,1880,98.5,2.56,2082563.0,Europe
Denmark,DNK,1885,98.5,2.63,2186768.0,Europe
Denmark,DNK,1890,98.5,2.71,2297977.0,Europe
Denmark,DNK,1895,98.5,2.78,2426480.0,Europe
Denmark,DNK,1900,98.5,2.84,2565333.0,Europe
Denmark,DNK,1905,98.5,2.91,2720375.0,Europe
Denmark,DNK,1910,98.5,3.17,2886076.0,Europe
Denmark,DNK,1915,98.5,3.39,3061428.0,Europe
Denmark,DNK,1920,98.5,3.64,3241362.0,Europe
Denmark,DNK,1925,98.5,3.93,3393860.0,Europe
Denmark,DNK,1930,98.5,4.26,3545296.0,Europe
Denmark,DNK,1935,98.5,4.59,3689717.0,Europe
Denmark,DNK,1940,98.5,4.89,3844754.0,Europe
Denmark,DNK,1945,98.5,5.34,4051891.0,Europe
Denmark,DNK,1950,98.5,5.63,4268408.0,Europe
Denmark,DNK,1955,98.5,4.78,4438843.0,Europe
Denmark,DNK,1960,98.5,5.3,4579347.0,Europe
Denmark,DNK,1965,98.5,6.06,4758837.0,Europe
Denmark,DNK,1970,98.5,7.19,4928674.0,Europe
Denmark,DNK,1975,98.5,8.01,5060403.0,Europe
Denmark,DNK,1980,98.5,8.85,5123079.0,Europe
Denmark,DNK,1985,98.5,9.59,5113878.0,Europe
Denmark,DNK,1990,98.5,10.48,5141024.0,Europe
Denmark,DNK,1995,98.5,11.04,5233364.0,Europe
Denmark,DNK,2000,98.5,11.5,5339659.0,Europe
Denmark,DNK,2005,98.5,11.81,5419550.0,Europe
Denmark,DNK,2010,98.5,11.97,5547865.0,Europe
Denmark,DNK,2015,98.5,11.67,5683698.0,Europe
Denmark,DNK,2020,98.5,11.69,5831529.0,Europe
Djibouti,DJI,1950,3.0,2.72,62349.0,Africa
Dominican Republic,DOM,1870,42.5,0.07,243047.0,North America
Dominican Republic,DOM,1875,42.5,0.1,275920.0,North America
Dominican Republic,DOM,1880,42.5,0.14,313223.0,North America
Dominican Republic,DOM,1885,42.5,0.19,355568.0,North America
Dominican Republic,DOM,1890,42.5,0.23,403638.0,North America
Dominican Republic,DOM,1895,42.5,0.26,458206.0,North America
Dominican Republic,DOM,1900,42.5,0.29,521386.0,North America
Dominican Republic,DOM,1905,42.5,0.7,601881.0,North America
Dominican Republic,DOM,1910,42.5,1.06,694364.0,North America
Dominican Republic,DOM,1915,42.5,1.3,787593.0,North America
Dominican Republic,DOM,1920,42.5,1.53,896843.0,North America
Dominican Republic,DOM,1925,42.5,1.85,1065260.0,North America
Dominican Republic,DOM,1930,42.5,2.21,1267768.0,North America
Dominican Republic,DOM,1935,42.5,2.3,1469414.0,North America
Dominican Republic,DOM,1940,42.5,2.3,1702095.0,North America
Dominican Republic,DOM,1945,42.5,2.39,2011881.0,North America
Dominican Republic,DOM,1950,42.5,2.53,2379896.0,North America
Dominican Republic,DOM,1955,42.5,2.58,2777636.0,North America
Dominican Republic,DOM,1960,42.5,2.78,3268341.0,North America
Dominican Republic,DOM,1965,42.5,3.15,3808965.0,North America
Dominican Republic,DOM,1970,42.5,3.74,4399294.0,North America
Dominican Republic,DOM,1975,42.5,4.3,5046783.0,North America
Dominican Republic,DOM,1980,42.5,4.98,5729043.0,North America
Dominican Republic,DOM,1981,73.0,2.39,5868459.0,North America
Dominican Republic,DOM,1985,73.0,5.58,6430404.0,North America
Dominican Republic,DOM,1990,73.0,6.13,7151165.0,North America
Dominican Republic,DOM,1995,73.0,6.58,7888120.0,North America
Dominican Republic,DOM,2000,73.0,7.03,8584196.0,North America
Dominican Republic,DOM,2002,87.0,2.39,8852231.0,North America
Dominican Republic,DOM,2005,87.0,7.54,9225035.0,North America
Dominican Republic,DOM,2007,88.0,2.39,9455663.0,North America
Dominican Republic,DOM,2010,90.0,8.12,9820180.0,North America
Dominican Republic,DOM,2011,90.0,2.39,9945623.0,North America
Dominican Republic,DOM,2012,90.0,2.39,10070409.0,North America
Dominican Republic,DOM,2013,91.0,2.39,10193838.0,North America
Dominican Republic,DOM,2014,92.0,2.39,10315523.0,North America
Dominican Republic,DOM,2015,92.0,8.48,10434826.0,North America
Dominican Republic,DOM,2016,94.0,2.39,10551430.0,North America
Dominican Republic,DOM,2020,94.0,9.04,11008298.0,North America
East Timor,TLS,1950,3.0,2.72,414767.0,Asia
East Timor,TLS,2001,38.0,2.72,812253.0,Asia
East Timor,TLS,2007,51.0,2.72,1004898.0,Asia
East Timor,TLS,2010,58.0,2.72,1084688.0,Asia
East Timor,TLS,2016,65.77913,2.72,1228314.0,Asia
Ecuador,ECU,1870,57.5,0.19,1026980.0,South America
Ecuador,ECU,1875,57.5,0.24,1087561.0,South America
Ecuador,ECU,1880,57.5,0.3,1151684.0,South America
Ecuador,ECU,1885,57.5,0.37,1219574.0,South America
Ecuador,ECU,1890,57.5,0.45,1291452.0,South America
Ecuador,ECU,1895,57.5,0.56,1367550.0,South America
Ecuador,ECU,1900,57.5,0.9,1451333.0,South America
Ecuador,ECU,1905,57.5,1.04,1561601.0,South America
Ecuador,ECU,1910,57.5,1.25,1679429.0,South America
Ecuador,ECU,1915,57.5,1.42,1777234.0,South America
Ecuador,ECU,1920,57.5,1.58,1870163.0,South America
Ecuador,ECU,1925,57.5,1.68,1951155.0,South America
Ecuador,ECU,1930,57.5,1.86,2052817.0,South America
Ecuador,ECU,1935,57.5,2.08,2291278.0,South America
Ecuador,ECU,1940,57.5,2.23,2592696.0,South America
Ecuador,ECU,1945,57.5,2.43,3018002.0,South America
Ecuador,ECU,1950,57.5,2.62,3516791.0,South America
Ecuador,ECU,1955,57.5,2.93,4006189.0,South America
Ecuador,ECU,1960,57.5,3.29,4590893.0,South America
Ecuador,ECU,1965,57.5,4.0,5303960.0,South America
Ecuador,ECU,1970,57.5,4.55,6155392.0,South America
Ecuador,ECU,1975,57.5,5.07,7118258.0,South America
Ecuador,ECU,1980,57.5,6.35,8165882.0,South America
Ecuador,ECU,1982,84.0,2.43,8611296.0,South America
Ecuador,ECU,1985,84.0,6.76,9311152.0,South America
Ecuador,ECU,1990,88.0,7.23,10473674.0,South America
Ecuador,ECU,1995,88.0,7.32,11590519.0,South America
Ecuador,ECU,2000,88.0,7.41,12689215.0,South America
Ecuador,ECU,2001,91.0,2.43,12910736.0,South America
Ecuador,ECU,2005,91.0,7.7,13846162.0,South America
Ecuador,ECU,2007,92.0,2.43,14328783.0,South America
Ecuador,ECU,2008,92.0,2.43,14575201.0,South America
Ecuador,ECU,2009,92.0,2.43,14825960.0,South America
Ecuador,ECU,2010,92.0,8.02,15076697.0,South America
Ecuador,ECU,2011,92.0,2.43,15326232.0,South America
Ecuador,ECU,2012,92.0,2.43,15572195.0,South America
Ecuador,ECU,2013,93.0,2.43,15807132.0,South America
Ecuador,ECU,2014,94.0,2.43,16035127.0,South America
Ecuador,ECU,2015,94.0,8.54,16266229.0,South America
Ecuador,ECU,2016,94.0,2.43,16505142.0,South America
Ecuador,ECU,2017,93.0,2.43,16759515.0,South America
Ecuador,ECU,2020,94.0,9.07,17546058.0,South America
Ecuador,ECU,2021,94.0,2.43,17682454.0,South America
Ecuador,ECU,2022,94.0,2.43,17823900.0,South America
Egypt,EGY,1870,7.3,0.02,6885909.0,Africa
Egypt,EGY,1875,7.3,0.02,7223941.0,Africa
Egypt,EGY,1880,7.3,0.03,7594768.0,Africa
Egypt,EGY,1885,7.3,0.04,8091603.0,Africa
Egypt,EGY,1890,7.3,0.05,8643889.0,Africa
Egypt,EGY,1895,7.3,0.07,9268507.0,Africa
Egypt,EGY,1900,7.3,0.09,9940289.0,Africa
Egypt,EGY,1905,7.3,0.12,10636440.0,Africa
Egypt,EGY,1907,7.3,0.46,10926812.0,Africa
Egypt,EGY,1910,7.3,0.16,11361079.0,Africa
Egypt,EGY,1915,7.3,0.22,12028348.0,Africa
Egypt,EGY,1917,8.8,0.46,12299362.0,Africa
Egypt,EGY,1920,8.8,0.31,12731391.0,Africa
Egypt,EGY,1925,8.8,0.41,13461191.0,Africa
Egypt,EGY,1927,14.1,0.46,13762974.0,Africa
Egypt,EGY,1930,14.1,0.46,14249967.0,Africa
Egypt,EGY,1935,14.1,0.3,15227663.0,Africa
Egypt,EGY,1937,14.8,0.46,15646375.0,Africa
Egypt,EGY,1940,14.8,0.36,16423191.0,Africa
Egypt,EGY,1945,14.8,0.42,18580434.0,Africa
Egypt,EGY,1950,22.5,0.54,21148168.0,Africa
Egypt,EGY,1955,22.5,0.7,23795234.0,Africa
Egypt,EGY,1960,22.5,0.85,26896480.0,Africa
Egypt,EGY,1965,22.5,1.11,30629174.0,Africa
Egypt,EGY,1970,22.5,1.41,34623990.0,Africa
Egypt,EGY,1975,22.5,1.82,38875326.0,Africa
Egypt,EGY,1976,38.0,0.46,39795558.0,Africa
Egypt,EGY,1980,38.0,2.8,43950413.0,Africa
Egypt,EGY,1985,38.0,3.92,50734974.0,Africa
Egypt,EGY,1986,44.0,0.46,52206296.0,Africa
Egypt,EGY,1990,44.0,4.6,58396625.0,Africa
Egypt,EGY,1995,44.0,5.36,65652621.0,Africa
Egypt,EGY,1996,56.0,0.46,67028045.0,Africa
Egypt,EGY,2000,56.0,6.3,73083287.0,Africa
Egypt,EGY,2005,67.0,6.93,81101012.0,Africa
Egypt,EGY,2006,66.0,0.46,82700404.0,Africa
Egypt,EGY,2010,72.0,7.44,89196073.0,Africa
Egypt,EGY,2012,74.0,0.46,93161000.0,Africa
Egypt,EGY,2013,72.0,0.46,95333551.0,Africa
Egypt,EGY,2015,72.0,7.53,99597334.0,Africa
Egypt,EGY,2017,71.0,0.46,103696055.0,Africa
Egypt,EGY,2020,71.0,8.01,109315118.0,Africa
El Salvador,SLV,1870,37.5,0.22,511554.0,North America
El Salvador,SLV,1875,37.5,0.27,573419.0,North America
El Salvador,SLV,1880,37.5,0.34,642161.0,North America
El Salvador,SLV,1885,37.5,0.42,697192.0,North America
El Salvador,SLV,1890,37.5,0.51,750809.0,North America
El Salvador,SLV,1895,37.5,0.6,792081.0,North America
El Salvador,SLV,1900,37.5,0.82,839397.0,North America
El Salvador,SLV,1905,37.5,0.92,933391.0,North America
El Salvador,SLV,1910,37.5,1.15,1045631.0,North America
El Salvador,SLV,1915,37.5,1.21,1171943.0,North America
El Salvador,SLV,1920,37.5,1.28,1307019.0,North America
El Salvador,SLV,1925,37.5,1.35,1450417.0,North America
El Salvador,SLV,1930,37.5,1.41,1600789.0,North America
El Salvador,SLV,1935,37.5,1.41,1711486.0,North America
El Salvador,SLV,1940,37.5,1.41,1826506.0,North America
El Salvador,SLV,1945,37.5,1.54,1986714.0,North America
El Salvador,SLV,1950,37.5,1.55,2183513.0,North America
El Salvador,SLV,1955,37.5,1.7,2456598.0,North America
El Salvador,SLV,1960,37.5,1.98,2791448.0,North America
El Salvador,SLV,1965,37.5,2.41,3199474.0,North America
El Salvador,SLV,1970,37.5,2.9,3668799.0,North America
El Salvador,SLV,1975,37.5,3.37,4120451.0,North America
El Salvador,SLV,1980,37.5,3.74,4540377.0,North America
El Salvador,SLV,1985,37.5,4.57,4894703.0,North America
El Salvador,SLV,1990,37.5,5.08,5399728.0,North America
El Salvador,SLV,1992,74.0,1.54,5585611.0,North America
El Salvador,SLV,1995,74.0,5.8,5762135.0,North America
El Salvador,SLV,2000,74.0,7.04,5943363.0,North America
El Salvador,SLV,2005,74.0,8.08,6005583.0,North America
El Salvador,SLV,2006,84.0,1.54,6002321.0,North America
El Salvador,SLV,2007,82.0,1.54,6009820.0,North America
El Salvador,SLV,2008,84.0,1.54,6029302.0,North America
El Salvador,SLV,2009,84.0,1.54,6048284.0,North America
El Salvador,SLV,2010,84.0,8.06,6068253.0,North America
El Salvador,SLV,2011,85.0,1.54,6090128.0,North America
El Salvador,SLV,2013,87.0,1.54,6138845.0,North America
El Salvador,SLV,2015,88.0,7.67,6183675.0,North America
El Salvador,SLV,2016,88.0,1.54,6200808.0,North America
El Salvador,SLV,2017,88.0,1.54,6213538.0,North America
El Salvador,SLV,2018,89.0,1.54,6219803.0,North America
El Salvador,SLV,2019,89.0,1.54,6222316.0,North America
El Salvador,SLV,2020,90.0,8.1,6234679.0,North America
El Salvador,SLV,2023,90.0,1.54,6309629.0,North America
Equatorial Guinea,GNQ,1950,22.5,2.72,226570.0,Africa
Equatorial Guinea,GNQ,2000,88.0,2.72,703287.0,Africa
Eritrea,ERI,1950,3.0,2.72,814880.0,Africa
Eritrea,ERI,2002,53.0,2.72,2392981.0,Africa
Eritrea,ERI,2008,65.0,2.72,2816331.0,Africa
Estonia,EST,1989,100.0,12.309999999999999,1567590.0,Europe
Estonia,EST,2000,100.0,12.309999999999999,1397001.0,Europe
Estonia,EST,2011,100.0,12.309999999999999,1327366.0,Europe
Estonia,EST,2015,100.0,12.33,1314580.0,Europe
Estonia,EST,2020,100.0,12.29,1329675.0,Europe
Eswatini,SWZ,1870,17.5,0.01,80694.0,Africa
Eswatini,SWZ,1875,17.5,0.01,84799.0,Africa
Eswatini,SWZ,1880,17.5,0.01,89113.0,Africa
Eswatini,SWZ,1885,17.5,0.01,93647.0,Africa
Eswatini,SWZ,1890,17.5,0.01,98411.0,Africa
Eswatini,SWZ,1895,17.5,0.01,103417.0,Africa
Eswatini,SWZ,1900,17.5,0.01,109096.0,Africa
Eswatini,SWZ,1905,17.5,0.01,117859.0,Africa
Eswatini,SWZ,1910,17.5,0.05,127720.0,Africa
Eswatini,SWZ,1915,17.5,0.11,137920.0,Africa
Eswatini,SWZ,1920,17.5,0.15,149409.0,Africa
Eswatini,SWZ,1925,17.5,0.36,165263.0,Africa
Eswatini,SWZ,1930,17.5,0.49,183282.0,Africa
Eswatini,SWZ,1935,17.5,0.62,202637.0,Africa
Eswatini,SWZ,1940,17.5,0.78,223795.0,Africa
Eswatini,SWZ,1945,17.5,0.96,246248.0,Africa
Eswatini,SWZ,1950,17.5,1.27,271670.0,Africa
Eswatini,SWZ,1955,17.5,1.55,307222.0,Africa
Eswatini,SWZ,1960,17.5,1.81,345339.0,Africa
Eswatini,SWZ,1965,17.5,2.16,388342.0,Africa
Eswatini,SWZ,1970,17.5,3.0,441223.0,Africa
Eswatini,SWZ,1975,17.5,3.96,507675.0,Africa
Eswatini,SWZ,1976,55.0,0.96,523339.0,Africa
Eswatini,SWZ,1980,55.0,4.6,596657.0,Africa
Eswatini,SWZ,1985,55.0,5.26,706204.0,Africa
Eswatini,SWZ,1986,67.0,0.96,734736.0,Africa
Eswatini,SWZ,1990,67.0,5.28,872436.0,Africa
Eswatini,SWZ,1995,67.0,5.2,970439.0,Africa
Eswatini,SWZ,2000,82.0,4.62,1041428.0,Africa
Eswatini,SWZ,2005,82.0,4.64,1079022.0,Africa
Eswatini,SWZ,2010,82.0,5.33,1111651.0,Africa
Eswatini,SWZ,2015,82.0,5.77,1142822.0,Africa
Eswatini,SWZ,2020,82.0,6.46,1192734.0,Africa
Eswatini,SWZ,2022,90.74702,0.96,1218921.0,Africa
Ethiopia,ETH,1950,3.0,2.72,17670418.0,Africa
Ethiopia,ETH,1994,27.0,2.72,55611514.0,Africa
Ethiopia,ETH,2004,36.0,2.72,76077211.0,Africa
Ethiopia,ETH,2007,39.0,2.72,83103218.0,Africa
Ethiopia,ETH,2016,47.49159,2.72,106718163.0,Africa
Falkland Islands,FLK,1950,92.5,2.72,2214.0,South America
Faroe Islands,FRO,1950,98.5,2.72,31690.0,Europe
Fiji,FJI,1870,67.5,0.01,132535.0,Oceania
Fiji,FJI,1875,67.5,0.01,131435.0,Oceania
Fiji,FJI,1880,67.5,0.01,130163.0,Oceania
Fiji,FJI,1885,67.5,0.01,127772.0,Oceania
Fiji,FJI,1890,67.5,0.02,125548.0,Oceania
Fiji,FJI,1895,67.5,0.03,125255.0,Oceania
Fiji,FJI,1900,67.5,0.05,126498.0,Oceania
Fiji,FJI,1905,67.5,0.08,135900.0,Oceania
Fiji,FJI,1910,67.5,0.25,147045.0,Oceania
Fiji,FJI,1915,67.5,0.46,156729.0,Oceania
Fiji,FJI,1920,67.5,0.88,167453.0,Oceania
Fiji,FJI,1925,67.5,1.61,186774.0,Oceania
Fiji,FJI,1930,67.5,2.0,210278.0,Oceania
Fiji,FJI,1935,67.5,2.41,240404.0,Oceania
Fiji,FJI,1940,67.5,2.76,272546.0,Oceania
Fiji,FJI,1945,67.5,3.08,289423.0,Oceania
Fiji,FJI,1950,67.5,3.77,309525.0,Oceania
Fiji,FJI,1955,67.5,4.24,349084.0,Oceania
Fiji,FJI,1960,67.5,4.57,404901.0,Oceania
Fiji,FJI,1965,67.5,5.24,472583.0,Oceania
Fiji,FJI,1970,67.5,5.67,531198.0,Oceania
Fiji,FJI,1975,67.5,6.4,575919.0,Oceania
Fiji,FJI,1980,67.5,7.16,641985.0,Oceania
Fiji,FJI,1985,67.5,7.85,723767.0,Oceania
Fiji,FJI,1990,67.5,9.24,773325.0,Oceania
Fiji,FJI,1995,67.5,10.28,798750.0,Oceania
Fiji,FJI,2000,67.5,9.97,840913.0,Oceania
Fiji,FJI,2005,67.5,9.76,882384.0,Oceania
Fiji,FJI,2010,67.5,10.35,910427.0,Oceania
Fiji,FJI,2015,67.5,11.09,918585.0,Oceania
Fiji,FJI,2020,67.5,11.52,914971.0,Oceania
Finland,FIN,1870,38.8,0.13,1768777.0,Europe
Finland,FIN,1875,38.8,0.16,1894323.0,Europe
Finland,FIN,1880,38.8,0.19,2044905.0,Europe
Finland,FIN,1885,38.8,0.23,2198670.0,Europe
Finland,FIN,1890,38.8,0.3,2358016.0,Europe
Finland,FIN,1895,38.8,0.39,2499032.0,Europe
Finland,FIN,1900,38.8,1.16,2641827.0,Europe
Finland,FIN,1905,38.8,1.55,2781046.0,Europe
Finland,FIN,1910,55.3,1.63,2919587.0,Europe
Finland,FIN,1915,55.3,1.98,3025373.0,Europe
Finland,FIN,1920,69.9,2.35,3134300.0,Europe
Finland,FIN,1925,69.9,2.74,3282981.0,Europe
Finland,FIN,1930,84.1,3.09,3439039.0,Europe
Finland,FIN,1935,84.1,3.4,3566585.0,Europe
Finland,FIN,1940,84.1,3.52,3695558.0,Europe
Finland,FIN,1945,84.1,3.68,3845261.0,Europe
Finland,FIN,1950,98.5,3.91,4008410.0,Europe
Finland,FIN,1955,98.5,4.06,4235197.0,Europe
Finland,FIN,1960,98.5,4.25,4429631.0,Europe
Finland,FIN,1965,98.5,4.97,4564150.0,Europe
Finland,FIN,1970,98.5,5.99,4606308.0,Europe
Finland,FIN,1975,98.5,7.11,4711172.0,Europe
Finland,FIN,1980,98.5,8.04,4779358.0,Europe
Finland,FIN,1985,98.5,8.01,4902262.0,Europe
Finland,FIN,1990,98.5,8.56,4986576.0,Europe
Finland,FIN,1995,98.5,9.31,5107919.0,Europe
Finland,FIN,2000,98.5,9.9,5176197.0,Europe
Finland,FIN,2005,98.5,10.42,5246078.0,Europe
Finland,FIN,2010,98.5,10.71,5363347.0,Europe
Finland,FIN,2015,98.5,10.94,5479719.0,Europe
Finland,FIN,2020,98.5,11.05,5529616.0,Europe
France,FRA,1475,6.0,4.27,14867569.0,Europe
France,FRA,1550,19.0,4.27,18314626.0,Europe
France,FRA,1650,29.0,4.27,21992348.0,Europe
France,FRA,1750,29.0,4.27,24994858.0,Europe
France,FRA,1870,29.0,0.7,38186983.0,Europe
France,FRA,1875,29.0,0.81,38464245.0,Europe
France,FRA,1880,29.0,1.2,38730622.0,Europe
France,FRA,1885,29.0,1.55,39130866.0,Europe
France,FRA,1890,29.0,1.8,39532330.0,Europe
France,FRA,1895,29.0,2.09,39785987.0,Europe
France,FRA,1900,29.0,2.35,40019136.0,Europe
France,FRA,1901,83.5,4.27,40067484.0,Europe
France,FRA,1905,83.5,2.65,40265996.0,Europe
France,FRA,1906,85.9,4.27,40315932.0,Europe
France,FRA,1910,85.9,2.95,40344819.0,Europe
France,FRA,1911,88.1,4.27,40224160.0,Europe
France,FRA,1915,88.1,3.21,39351947.0,Europe
France,FRA,1920,88.1,3.45,38529587.0,Europe
France,FRA,1921,91.8,4.27,38594388.0,Europe
France,FRA,1925,91.8,3.66,39513139.0,Europe
France,FRA,1926,93.9,4.27,39769931.0,Europe
France,FRA,1930,93.9,3.79,40618294.0,Europe
