entity,code,year,illiteracy_rate,literacy_rate
Burkina Faso,BFA,2005,76.0,24.0
Burkina Faso,BFA,2006,78.0,22.0
Burkina Faso,BFA,2007,72.0,28.0
Burkina Faso,BFA,2014,65.0,35.0
Burkina Faso,BFA,2018,61.0,39.0
Burkina Faso,BFA,2019,70.0,30.0
Burkina Faso,BFA,2021,63.03262,36.96738
Burkina Faso,BFA,2022,59.07639,40.92361
Burundi,BDI,1979,77.0,23.0
Burundi,BDI,1990,63.0,37.0
Burundi,BDI,2000,41.0,59.0
Burundi,BDI,2008,52.0,48.0
Burundi,BDI,2014,38.0,62.0
Burundi,BDI,2016,34.312263,65.68774
Burundi,BDI,2017,32.0,68.0
Cambodia,KHM,1950,82.5,17.5
Cambodia,KHM,1998,33.0,67.0
Cambodia,KHM,2004,26.0,74.0
Cambodia,KHM,2008,23.0,77.0
Cambodia,KHM,2009,24.0,76.0
Cambodia,KHM,2014,22.0,78.0
Cambodia,KHM,2015,19.0,81.0
Cambodia,KHM,2021,28.072746,71.92725
Cameroon,CMR,1950,92.5,7.5
Cameroon,CMR,1976,59.0,41.0
Cameroon,CMR,2000,32.0,68.0
Cameroon,CMR,2007,29.0,71.0
Cameroon,CMR,2010,29.0,71.0
Cameroon,CMR,2018,27.452873,72.54713
Canada,CAN,1901,17.1,82.9
Canada,CAN,1911,11.0,89.0
Canada,CAN,1921,5.7,94.3
Canada,CAN,1931,4.3,95.7
Canada,CAN,1950,2.5,97.5
Cape Verde,CPV,1950,77.5,22.5
Cape Verde,CPV,1990,37.0,63.0
Cape Verde,CPV,2012,15.0,85.0
Cape Verde,CPV,2015,13.0,87.0
Cayman Islands,CYM,2007,1.0,99.0
Central African Republic,CAF,1950,97.0,3.0
Central African Republic,CAF,1975,82.0,18.0
Central African Republic,CAF,1988,66.0,34.0
Central African Republic,CAF,2000,49.0,51.0
Central African Republic,CAF,2019,57.55721,42.44279
Chad,TCD,1993,89.0,11.0
Chad,TCD,2000,74.0,26.0
Chad,TCD,2004,72.0,28.0
Chad,TCD,2016,78.0,22.0
Chad,TCD,2019,69.37208,30.62792
Channel Islands,OWID_CIS,1950,1.5,98.5
Chile,CHL,1907,49.9,50.1
Chile,CHL,1920,36.9,63.1
Chile,CHL,1930,24.4,75.6
Chile,CHL,1940,26.4,73.6
Chile,CHL,1950,22.5,77.5
Chile,CHL,1982,9.0,91.0
Chile,CHL,1992,6.0,94.0
Chile,CHL,2002,4.0,96.0
Chile,CHL,2011,3.0,97.0
Chile,CHL,2013,4.0,96.0
Chile,CHL,2015,3.0,97.0
Chile,CHL,2017,4.0,96.0
China,CHN,1950,52.5,47.5
China,CHN,1982,34.0,66.0
China,CHN,1990,22.0,78.0
China,CHN,2000,9.0,91.0
China,CHN,2010,5.0,95.0
China,CHN,2020,3.0,97.0
Cocos Islands,CCK,1950,82.5,17.5
Colombia,COL,1918,57.6,42.4
Colombia,COL,1928,48.4,51.6
Colombia,COL,1938,44.2,55.8
Colombia,COL,1950,47.5,52.5
Colombia,COL,1993,9.0,91.0
Colombia,COL,1996,9.0,91.0
Colombia,COL,2004,7.0,93.0
Colombia,COL,2005,7.0,93.0
Colombia,COL,2006,8.0,92.0
Colombia,COL,2007,7.0,93.0
Colombia,COL,2008,7.0,93.0
Colombia,COL,2009,7.0,93.0
Colombia,COL,2010,7.0,93.0
Colombia,COL,2011,6.0,94.0
Colombia,COL,2014,6.0,94.0
Colombia,COL,2015,6.0,94.0
Colombia,COL,2016,5.0,95.0
Colombia,COL,2018,5.0,95.0
Colombia,COL,2019,5.0,95.0
Colombia,COL,2020,4.0,96.0
Comoros,COM,1950,77.5,22.5
Comoros,COM,1980,52.0,48.0
Comoros,COM,2000,32.0,68.0
Congo,COG,1984,40.0,60.0
Congo,COG,2005,24.0,76.0
Cook Islands,COK,1950,7.5,92.5
Costa Rica,CRI,1950,22.5,77.5
Costa Rica,CRI,1984,7.0,93.0
Costa Rica,CRI,2000,5.0,95.0
Costa Rica,CRI,2011,3.0,97.0
Cote d'Ivoire,CIV,1988,66.0,34.0
Cote d'Ivoire,CIV,1998,64.0,36.0
Cote d'Ivoire,CIV,2000,51.0,49.0
Cote d'Ivoire,CIV,2014,56.0,44.0
Cote d'Ivoire,CIV,2016,49.96032,50.03968
Cote d'Ivoire,CIV,2021,49.99936,50.00064
Croatia,HRV,1991,3.0,97.0
Croatia,HRV,2001,2.0,98.0
Cuba,CUB,1899,56.9,43.1
Cuba,CUB,1907,43.6,56.4
Cuba,CUB,1919,38.7,61.3
Cuba,CUB,1931,28.2,71.8
Cuba,CUB,1943,23.6,76.4
Cuba,CUB,1950,22.5,77.5
Cuba,CUB,1981,2.0,98.0
Cuba,CUB,2002,0.0,100.0
Cuba,CUB,2012,0.0,100.0
Cuba,CUB,2019,2.3450928,97.65491
Cyprus,CYP,1950,37.5,62.5
Cyprus,CYP,1992,6.0,94.0
Cyprus,CYP,2001,3.0,97.0
Cyprus,CYP,2011,1.0,99.0
Czechoslovakia,OWID_CZS,1950,2.5,97.5
Democratic Republic of Congo,COD,1950,62.5,37.5
Democratic Republic of Congo,COD,2001,33.0,67.0
Democratic Republic of Congo,COD,2012,25.0,75.0
Democratic Republic of Congo,COD,2016,23.0,77.0
Democratic Republic of Congo,COD,2018,26.446968,73.55303
Denmark,DNK,1950,1.5,98.5
Djibouti,DJI,1950,97.0,3.0
Dominican Republic,DOM,1950,57.5,42.5
Dominican Republic,DOM,1981,27.0,73.0
Dominican Republic,DOM,2002,13.0,87.0
Dominican Republic,DOM,2007,12.0,88.0
Dominican Republic,DOM,2010,10.0,90.0
Dominican Republic,DOM,2011,10.0,90.0
Dominican Republic,DOM,2012,10.0,90.0
Dominican Republic,DOM,2013,9.0,91.0
Dominican Republic,DOM,2014,8.0,92.0
Dominican Republic,DOM,2015,8.0,92.0
Dominican Republic,DOM,2016,6.0,94.0
East Timor,TLS,1950,97.0,3.0
East Timor,TLS,2001,62.0,38.0
East Timor,TLS,2007,49.0,51.0
East Timor,TLS,2010,42.0,58.0
East Timor,TLS,2016,34.22087,65.77913
Ecuador,ECU,1950,42.5,57.5
Ecuador,ECU,1982,16.0,84.0
Ecuador,ECU,1990,12.0,88.0
Ecuador,ECU,2001,9.0,91.0
Ecuador,ECU,2007,8.0,92.0
Ecuador,ECU,2008,8.0,92.0
Ecuador,ECU,2009,8.0,92.0
Ecuador,ECU,2010,8.0,92.0
Ecuador,ECU,2011,8.0,92.0
Ecuador,ECU,2012,8.0,92.0
Ecuador,ECU,2013,7.0,93.0
Ecuador,ECU,2014,6.0,94.0
Ecuador,ECU,2015,6.0,94.0
Ecuador,ECU,2016,6.0,94.0
Ecuador,ECU,2017,7.0,93.0
Ecuador,ECU,2020,6.0,94.0
Ecuador,ECU,2021,6.0,94.0
Ecuador,ECU,2022,6.0,94.0
Egypt,EGY,1907,92.7,7.3
Egypt,EGY,1917,91.2,8.8
Egypt,EGY,1927,85.9,14.1
Egypt,EGY,1937,85.2,14.8
Egypt,EGY,1950,77.5,22.5
Egypt,EGY,1976,62.0,38.0
Egypt,EGY,1986,56.0,44.0
Egypt,EGY,1996,44.0,56.0
Egypt,EGY,2005,33.0,67.0
Egypt,EGY,2006,34.0,66.0
Egypt,EGY,2010,28.0,72.0
Egypt,EGY,2012,26.0,74.0
Egypt,EGY,2013,28.0,72.0
Egypt,EGY,2017,29.0,71.0
El Salvador,SLV,1950,62.5,37.5
El Salvador,SLV,1992,26.0,74.0
El Salvador,SLV,2006,16.0,84.0
El Salvador,SLV,2007,18.0,82.0
El Salvador,SLV,2008,16.0,84.0
El Salvador,SLV,2009,16.0,84.0
El Salvador,SLV,2010,16.0,84.0
El Salvador,SLV,2011,15.0,85.0
El Salvador,SLV,2013,13.0,87.0
El Salvador,SLV,2015,12.0,88.0
El Salvador,SLV,2016,12.0,88.0
El Salvador,SLV,2017,12.0,88.0
El Salvador,SLV,2018,11.0,89.0
El Salvador,SLV,2019,11.0,89.0
El Salvador,SLV,2020,10.0,90.0
El Salvador,SLV,2023,10.0,90.0
Equatorial Guinea,GNQ,1950,77.5,22.5
Equatorial Guinea,GNQ,2000,12.0,88.0
Eritrea,ERI,1950,97.0,3.0
Eritrea,ERI,2002,47.0,53.0
Eritrea,ERI,2008,35.0,65.0
Estonia,EST,1989,0.0,100.0
Estonia,EST,2000,0.0,100.0
Estonia,EST,2011,0.0,100.0
Eswatini,SWZ,1950,82.5,17.5
Eswatini,SWZ,1976,45.0,55.0
Eswatini,SWZ,1986,33.0,67.0
Eswatini,SWZ,2000,18.0,82.0
Eswatini,SWZ,2022,9.252983,90.74702
Ethiopia,ETH,1950,97.0,3.0
Ethiopia,ETH,1994,73.0,27.0
Ethiopia,ETH,2004,64.0,36.0
Ethiopia,ETH,2007,61.0,39.0
Ethiopia,ETH,2016,52.50841,47.49159
Falkland Islands,FLK,1950,7.5,92.5
Faroe Islands,FRO,1950,1.5,98.5
Fiji,FJI,1950,32.5,67.5
Finland,FIN,1900,61.2,38.8
Finland,FIN,1910,44.7,55.3
Finland,FIN,1920,30.1,69.9
Finland,FIN,1930,15.9,84.1
Finland,FIN,1950,1.5,98.5
France,FRA,1475,94.0,6.0
France,FRA,1550,81.0,19.0
France,FRA,1650,71.0,29.0
France,FRA,1750,71.0,29.0
France,FRA,1901,16.5,83.5
France,FRA,1906,14.1,85.9
France,FRA,1911,11.9,88.1
France,FRA,1921,8.2,91.8
France,FRA,1926,6.1,93.9
France,FRA,1931,5.3,94.7
France,FRA,1936,4.0,96.0
France,FRA,1946,3.4,96.6
France,FRA,1950,3.5,96.5
French Guiana,GUF,1950,32.5,67.5
French Guiana,GUF,1982,17.0,83.0
French Polynesia,PYF,1950,67.5,32.5
Gabon,GAB,1993,28.0,72.0
Gabon,GAB,2021,11.141663,88.85834
Gambia,GMB,1950,92.5,7.5
Gambia,GMB,2000,63.0,37.0
Gambia,GMB,2015,49.0,51.0
Gambia,GMB,2018,46.8398,53.1602
Gambia,GMB,2021,48.3626,51.6374
Georgia,GEO,2002,0.0,100.0
Georgia,GEO,2014,0.0,100.0
Georgia,GEO,2017,1.0,99.0
Georgia,GEO,2018,0.34633636,99.65366
Georgia,GEO,2022,0.0,100.0
Georgia,GEO,2023,0.44452667,99.55547
Germany,DEU,1475,91.0,9.0
Germany,DEU,1550,84.0,16.0
Germany,DEU,1650,69.0,31.0
Germany,DEU,1750,62.0,38.0
Germany,DEU,1950,1.5,98.5
Ghana,GHA,1950,77.5,22.5
Ghana,GHA,2000,42.0,58.0
Ghana,GHA,2010,29.0,71.0
Ghana,GHA,2017,35.507607,64.49239
Ghana,GHA,2021,23.51432,76.48568
Gibraltar,GIB,1950,32.5,67.5
Greece,GRC,1907,60.5,39.5
Greece,GRC,1920,52.0,48.0
Greece,GRC,1928,41.9,58.1
Greece,GRC,1950,27.5,72.5
Greece,GRC,1981,9.0,91.0
Greece,GRC,1991,7.0,93.0
Greece,GRC,2001,4.0,96.0
Greece,GRC,2009,6.0,94.0
Greenland,GRL,1950,1.5,98.5
Grenada,GRD,1950,32.5,67.5
Grenada,GRD,1970,2.0,98.0
Guadeloupe,GLP,1950,32.5,67.5
Guadeloupe,GLP,1982,10.0,90.0
Guam,GUM,1950,12.5,87.5
Guam,GUM,1980,4.0,96.0
Guam,GUM,1990,1.0,99.0
Guatemala,GTM,1950,72.5,27.5
Guatemala,GTM,1994,36.0,64.0
Guatemala,GTM,2002,31.0,69.0
Guatemala,GTM,2012,22.0,78.0
Guatemala,GTM,2013,23.0,77.0
Guatemala,GTM,2014,19.0,81.0
Guatemala,GTM,2015,19.804909,80.19509
Guatemala,GTM,2018,19.0,81.0
Guatemala,GTM,2022,16.968826,83.03117
Guinea,GIN,1996,79.0,21.0
Guinea,GIN,2003,70.0,30.0
Guinea,GIN,2010,75.0,25.0
Guinea,GIN,2014,68.0,32.0
Guinea,GIN,2018,60.0,40.0
Guinea-Bissau,GNB,1950,97.0,3.0
Guinea-Bissau,GNB,1979,80.0,20.0
Guinea-Bissau,GNB,2000,59.0,41.0
Guinea-Bissau,GNB,2019,45.11768,54.88232
Guinea-Bissau,GNB,2022,36.06587,63.93413
Guyana,GUY,1950,22.5,77.5
Guyana,GUY,2020,14.361649,85.63835
Haiti,HTI,1950,87.5,12.5
Haiti,HTI,1982,65.0,35.0
Haiti,HTI,2003,41.0,59.0
Haiti,HTI,2017,31.990143,68.00986
Honduras,HND,1926,73.9,26.1
Honduras,HND,1930,66.6,33.4
Honduras,HND,1935,67.4,32.6
Honduras,HND,1940,65.3,34.7
Honduras,HND,1945,63.7,36.3
Honduras,HND,1950,62.5,37.5
Honduras,HND,2001,20.0,80.0
Honduras,HND,2007,16.0,84.0
Honduras,HND,2010,15.0,85.0
Honduras,HND,2011,15.0,85.0
Honduras,HND,2012,15.0,85.0
Honduras,HND,2013,15.0,85.0
Honduras,HND,2014,13.0,87.0
Honduras,HND,2015,12.0,88.0
Honduras,HND,2016,11.0,89.0
Honduras,HND,2018,13.0,87.0
Honduras,HND,2019,11.0,89.0
Hong Kong,HKG,1950,42.5,57.5
Hungary,HUN,1900,39.9,60.1
Hungary,HUN,1910,32.3,67.7
Hungary,HUN,1920,13.4,86.6
Hungary,HUN,1930,10.0,90.0
Hungary,HUN,1941,6.4,93.6
Hungary,HUN,1950,4.5,95.5
Hungary,HUN,1980,1.0,99.0
Iceland,ISL,1950,1.5,98.5
India,IND,1901,93.8,6.2
India,IND,1911,93.0,7.0
India,IND,1921,91.7,8.3
India,IND,1931,90.9,9.1
India,IND,1950,82.5,17.5
India,IND,1981,59.0,41.0
India,IND,1991,52.0,48.0
India,IND,2001,39.0,61.0
India,IND,2006,37.0,63.0
India,IND,2011,31.0,69.0
India,IND,2022,24.0,76.0
India,IND,2023,18.0,82.0
Indonesia,IDN,1950,82.5,17.5
Indonesia,IDN,1980,33.0,67.0
Indonesia,IDN,1990,18.0,82.0
Indonesia,IDN,2004,10.0,90.0
Indonesia,IDN,2006,8.0,92.0
Indonesia,IDN,2008,8.0,92.0
Indonesia,IDN,2009,7.0,93.0
Indonesia,IDN,2011,7.0,93.0
Indonesia,IDN,2014,5.0,95.0
Indonesia,IDN,2015,5.0,95.0
Indonesia,IDN,2016,5.0,95.0
Indonesia,IDN,2018,4.0,96.0
Indonesia,IDN,2020,4.0,96.0
Iran,IRN,1950,87.5,12.5
Iran,IRN,1976,63.0,37.0
Iran,IRN,1986,48.0,52.0
Iran,IRN,1991,34.0,66.0
Iran,IRN,1996,27.0,73.0
Iran,IRN,2002,23.0,77.0
Iran,IRN,2005,18.0,82.0
Iran,IRN,2006,18.0,82.0
Iran,IRN,2008,17.0,83.0
Iran,IRN,2012,16.0,84.0
Iran,IRN,2013,15.0,85.0
Iran,IRN,2014,15.0,85.0
Iran,IRN,2016,14.0,86.0
Iraq,IRQ,1950,87.5,12.5
Iraq,IRQ,2000,26.0,74.0
Iraq,IRQ,2012,23.0,77.0
Iraq,IRQ,2014,18.0,82.0
Iraq,IRQ,2016,17.0,83.0
Iraq,IRQ,2017,14.0,86.0
Ireland,IRL,1475,100.0,0.0
Ireland,IRL,1550,100.0,0.0
Ireland,IRL,1650,97.0,3.0
Ireland,IRL,1750,79.0,21.0
Ireland,IRL,1950,1.5,98.5
Isle of Man,IMN,1950,1.5,98.5
Israel,ISR,1950,7.5,92.5
Israel,ISR,1983,8.0,92.0
Italy,ITA,1475,85.0,15.0
Italy,ITA,1550,82.0,18.0
Italy,ITA,1650,77.0,23.0
Italy,ITA,1750,77.0,23.0
Italy,ITA,1901,48.2,51.8
Italy,ITA,1911,37.2,62.8
Italy,ITA,1921,26.8,73.2
Italy,ITA,1931,21.6,78.4
Italy,ITA,1950,12.5,87.5
Italy,ITA,1981,4.0,96.0
Italy,ITA,2001,2.0,98.0
Italy,ITA,2011,1.0,99.0
Italy,ITA,2019,1.0,99.0
Jamaica,JAM,1950,27.5,72.5
Jamaica,JAM,1999,20.0,80.0
Japan,JPN,1950,2.5,97.5
Jordan,JOR,1950,82.5,17.5
Jordan,JOR,1979,33.0,67.0
Jordan,JOR,2003,10.0,90.0
Jordan,JOR,2005,9.0,91.0
Jordan,JOR,2007,8.0,92.0
Jordan,JOR,2010,7.0,93.0
Jordan,JOR,2011,4.0,96.0
Jordan,JOR,2012,2.0,98.0
Jordan,JOR,2018,4.56855,95.43145
Jordan,JOR,2023,5.0,95.0
Kazakhstan,KAZ,1989,2.0,98.0
Kazakhstan,KAZ,1999,0.0,100.0
Kazakhstan,KAZ,2009,0.0,100.0
Kenya,KEN,1950,77.5,22.5
Kenya,KEN,2000,18.0,82.0
Kiribati,KIR,1950,7.5,92.5
Kiribati,KIR,2018,2.0402908,97.95971
Kuwait,KWT,1950,82.5,17.5
Kuwait,KWT,1975,40.0,60.0
Kuwait,KWT,1980,32.0,68.0
Kuwait,KWT,1985,26.0,74.0
Kuwait,KWT,1995,22.0,78.0
Kuwait,KWT,2005,7.0,93.0
Kuwait,KWT,2006,7.0,93.0
Kuwait,KWT,2007,6.0,94.0
Kuwait,KWT,2008,6.0,94.0
Kuwait,KWT,2010,6.0,94.0
Kuwait,KWT,2012,4.0,96.0
Kuwait,KWT,2013,4.0,96.0
Kuwait,KWT,2015,4.0,96.0
Kuwait,KWT,2017,4.0,96.0
Kuwait,KWT,2018,4.0,96.0
Kuwait,KWT,2020,4.0,96.0
Kyrgyzstan,KGZ,1999,1.0,99.0
Kyrgyzstan,KGZ,2009,1.0,99.0
Laos,LAO,1950,82.5,17.5
Laos,LAO,1995,40.0,60.0
Laos,LAO,2000,30.0,70.0
Laos,LAO,2001,31.0,69.0
Laos,LAO,2005,27.0,73.0
Laos,LAO,2015,15.0,85.0
Latvia,LVA,1989,1.0,99.0
Latvia,LVA,2000,0.0,100.0
Latvia,LVA,2011,0.0,100.0
Lebanon,LBN,1950,52.5,47.5
Lebanon,LBN,2007,10.0,90.0
Lebanon,LBN,2009,9.0,91.0
Lebanon,LBN,2018,7.0,93.0
Lesotho,LSO,1950,47.5,52.5
Lesotho,LSO,2000,14.0,86.0
Lesotho,LSO,2006,34.0,66.0
Lesotho,LSO,2016,3.0,97.0
Lesotho,LSO,2018,13.759132,86.24087
Liberia,LBR,1950,92.5,7.5
Liberia,LBR,1984,68.0,32.0
Libya,LBY,1950,92.5,7.5
Libya,LBY,1984,40.0,60.0
Liechtenstein,LIE,1950,1.5,98.5
Lithuania,LTU,1989,2.0,98.0
Lithuania,LTU,2001,0.0,100.0
Lithuania,LTU,2011,0.0,100.0
Luxembourg,LUX,1950,3.5,96.5
Macao,MAC,1950,42.5,57.5
Macao,MAC,1981,10.0,90.0
Macao,MAC,2001,9.0,91.0
Macao,MAC,2006,7.0,93.0
Macao,MAC,2011,4.0,96.0
Macao,MAC,2016,3.0,97.0
Madagascar,MDG,1950,67.5,32.5
Madagascar,MDG,2000,29.0,71.0
Madagascar,MDG,2005,41.0,59.0
Madagascar,MDG,2012,28.0,72.0
Madagascar,MDG,2018,23.0,77.0
Madagascar,MDG,2021,25.313858,74.68614
Malawi,MWI,1950,92.5,7.5
Malawi,MWI,1987,51.0,49.0
Malawi,MWI,1998,36.0,64.0
Malawi,MWI,2020,29.847733,70.15227
Malaysia,MYS,1950,62.5,37.5
Malaysia,MYS,1980,30.0,70.0
Malaysia,MYS,1991,17.0,83.0
Malaysia,MYS,2000,11.0,89.0
Malaysia,MYS,2010,7.0,93.0
Malaysia,MYS,2016,5.0,95.0
Malaysia,MYS,2017,5.0,95.0
Malaysia,MYS,2018,5.0,95.0
Malaysia,MYS,2019,5.0,95.0
Malaysia,MYS,2022,4.0,96.0
Maldives,MDV,1950,27.5,72.5
Maldives,MDV,1977,18.0,82.0
Maldives,MDV,1985,8.0,92.0
Maldives,MDV,1990,4.0,96.0
Maldives,MDV,1995,4.0,96.0
Maldives,MDV,2000,4.0,96.0
Maldives,MDV,2006,2.0,98.0
Maldives,MDV,2014,1.0,99.0
Maldives,MDV,2016,2.0,98.0
Maldives,MDV,2017,5.4944916,94.50551
Maldives,MDV,2019,1.7881393,98.21186
Mali,MLI,1976,91.0,9.0
Mali,MLI,1998,81.0,19.0
Mali,MLI,2003,76.0,24.0
Mali,MLI,2006,74.0,26.0
Mali,MLI,2010,69.0,31.0
Mali,MLI,2011,69.0,31.0
Mali,MLI,2015,67.0,33.0
Mali,MLI,2018,65.0,35.0
Malta,MLT,1950,42.5,57.5
Malta,MLT,1985,13.0,87.0
Malta,MLT,1995,12.0,88.0
Malta,MLT,2005,8.0,92.0
Malta,MLT,2011,7.0,93.0
Marshall Islands,MHL,2011,2.0,98.0
Martinique,MTQ,1950,27.5,72.5
Martinique,MTQ,1982,7.0,93.0
Mauritania,MRT,2000,49.0,51.0
Mauritania,MRT,2013,38.0,62.0
Mauritania,MRT,2015,34.887978,65.11202
Mauritania,MRT,2020,40.47034,59.52966
